LOGID,USERID,CREATEDATE,OPERATION,MENUID,STATUS,IP,CREATEORGID,UPDATETIME,CREATEUSERID
f52a666843904666ae65f6f4d64aaf02,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:57,openMenu,a1594f1f89c5ba138d369da68fc37051,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:57,41e3a1b575c20e95e0536a05a8c08226
b04ecd210f5b4a8cabfc0357e772e78b,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:58,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:58,41e3a1b575c20e95e0536a05a8c08226
f5fe9fbad0c14d45b24123c806046f71,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:58,addWindow,7d6ee9a4435a1d02fc6097be2c63ea72,1,10.10.20.54,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:58,41e3a1b575c20e95e0536a05a8c08226
af6d2f519ab24c29818b8ff97ee93342,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 10:53,login,,1,10.10.20.21,,2019/9/17 10:53,
208ba429406a4fe5947ac7b82ea41db1,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:02,editWindow,b0ff7bf9f7d50d1bf2b71dda6128c6c6,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:02,41e3a1b575c20e95e0536a05a8c08226
3e36043f5f474cdcaa69f539b78c6cb4,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:37,openMenu,e8f8e96d10d83cad8d36e15663387553,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:37,41e3a1b575c20e95e0536a05a8c08226
a3061bc7d37c45689b7e24326b14db96,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:38,addWindow,e8f8e96d10d83cad8d36e15663387553,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:38,41e3a1b575c20e95e0536a05a8c08226
cb5087741c284fa291c65b60849e965a,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:38,addWindow,e8f8e96d10d83cad8d36e15663387553,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:38,41e3a1b575c20e95e0536a05a8c08226
9dafd18bcc2c4a0fbb667a9551a00b09,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:38,addWindow,e8f8e96d10d83cad8d36e15663387553,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:38,41e3a1b575c20e95e0536a05a8c08226
45b4431866dd4b7aaca1fde3c353b1ab,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:39,addWindow,e8f8e96d10d83cad8d36e15663387553,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:39,41e3a1b575c20e95e0536a05a8c08226
8d23dd6a30ea425ca591a2ffc80c6a72,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:39,addWindow,e8f8e96d10d83cad8d36e15663387553,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:39,41e3a1b575c20e95e0536a05a8c08226
777b0e1541cb4e76af87c4d8747f5ddd,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 11:39,addWindow,e8f8e96d10d83cad8d36e15663387553,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 11:39,41e3a1b575c20e95e0536a05a8c08226
cbfbedf55b954927a8a4c1851bc0694b,41e3a1b575c20e95e0536a05a8c08226,2019/9/17 13:37,openMenu,39fe15db89dfea523013636197dc6e90,1,10.10.20.21,d96b2a185e504a269e52f54131c03c9b,2019/9/17 13:37,41e3a1b575c20e95e0536a05a8c08226
